treat	mean.imperf_netgen_cost	sd.imperf_netgen_cost	mean.ideal_trade_surplus	sd.ideal_trade_surplus
Treat = 0	14526.613179963688	29706.4247569718	7181.464632794841	21640.66525987653
Treat = 1	25431.35234425354	44032.509784208385	6755.085612504008	25775.621818108764
