method	time	num_eval
Sun and Abraham	06:00:40	1
Callway and Sant'Anna	07:15:18	1
de Chaisemartin and D'Haultfoeuille	01:22:54	1
Borusyak, Jaravel, Spiess	00:03:41	1
Gardner	00:00:19	1
