method	time	num_eval
Sun and Abraham	00:04:000	1
Callway and Sant'Anna	00:11:000	1
de Chaisemartin and D'Haultfoeuille	08:29:000	1
Borusyak, Jaravel, Spiess	00:10:000	1
Gardner	00:04:000	1
