method	time	num_eval
Sun and Abraham	00:01:28	1
Callway and Sant'Anna	04:02:41	1
de Chaisemartin and D'Haultfoeuille	02:16:18	1
Borusyak, Jaravel, Spiess	00:01:17	1
Gardner	00:00:05	1
